,date_time,main_artist,featuring,song,album
83,2018-02-20 17:50:00,Enrique Iglesias,NA,There Goes My Baby [feat. Flo Rida],Sex And Love (Deluxe Edition)
84,2018-02-20 17:53:00,Enrique Iglesias,NA,Loco [feat. India Martinez],Sex And Love [Explicit]
85,2018-02-20 17:57:00,Enrique Iglesias & Juan Luis Guerra,NA,Cuando Me Enamoro,Euphoria (Standard US/Latin Version)
86,2018-02-20 18:00:00,Enrique Iglesias,NA,Bailando (English Version) [feat. Sean Paul & Descemer Bueno & Gente De Zona],Sex And Love
87,2018-02-20 18:04:00,Enrique Iglesias,NA,El Perdedor [feat. Marco Antonio Solís],Gracias Por Estar Aquí (Deluxe)
88,2018-02-20 18:07:00,Enrique Iglesias,NA,Beautiful [feat. Kylie Minogue],Sex And Love (Deluxe Edition)
89,2018-02-20 18:11:00,Enrique Iglesias,NA,There Goes My Baby [feat. Flo Rida],Sex And Love [Explicit]
90,2018-02-20 18:14:00,Enrique Iglesias,NA,El Perdedor [feat. Marco Antonio Solís],Sex And Love (Deluxe) [Explicit]
91,2018-02-21 18:31:00,Lorde,NA,Green Light,Melodrama [Explicit]
92,2018-02-21 18:35:00,Lorde,NA,Team,Pure Heroine [Explicit]
93,2018-02-21 18:38:00,Lorde,NA,Liability,Melodrama [Explicit]
94,2018-02-22 18:19:00,Modest Mouse,NA,Ocean Breathes Salty (Album Version),Good News For People Who Love Bad News [Explicit]
95,2018-02-22 18:22:00,Modest Mouse,NA,Dashboard,We Were Dead Before The Ship Even Sank [Explicit]
96,2018-02-22 18:26:00,Modest Mouse,NA,Lampshades on Fire,Strangers to Ourselves [Explicit]
97,2018-02-22 18:30:00,Modest Mouse,NA,Tiny Cities Made Of Ashes (Album Version),The Moon & Antarctica [Explicit]
98,2018-02-22 18:33:00,Modest Mouse,NA,Blame It On the Tetons,Good News For People Who Love Bad News [Explicit]
99,2018-02-22 18:39:00,Modest Mouse,NA,Little Motel [Explicit],We Were Dead Before The Ship Even Sank [Explicit]
100,2018-02-22 18:43:00,Modest Mouse,NA,"The Ground Walks, with Time in a Box [Explicit]",Strangers to Ourselves [Explicit]
101,2018-02-22 18:44:00,M.I.A.,NA,Paper Planes,Kala
102,2018-02-22 18:48:00,Miley Cyrus,NA,We Can't Stop,Bangerz (Deluxe Version) [Explicit]
103,2018-02-22 18:52:00,Lady Gaga,NA,Joanne,Joanne [Explicit]
104,2018-02-24 09:05:00,The Blind Boys Of Alabama,NA,Stay on the Gospel Side,Almost Home
105,2018-02-24 09:05:00,Bob Marley,NA,Three Little Birds,Exodus
106,2018-02-24 09:08:00,Bob Marley,NA,Could You Be Loved (Album Version),Uprising
107,2018-02-24 09:12:00,Bob Marley,NA,Is This Love (Album Version),Kaya
108,2018-02-24 09:16:00,Bob Marley,NA,Stir It Up (Original Album Version),Catch A Fire (Deluxe Edition)
109,2018-02-24 09:22:00,Bob Marley,NA,No Woman No Cry,Natty Dread (Remastered)
110,2018-02-24 09:25:00,Bob Marley,NA,So Much Trouble In The World (Album Version),Survival
111,2018-02-24 09:29:00,Bob Marley,NA,Natural Mystic,Exodus
112,2018-02-24 09:33:00,Bob Marley,NA,Coming In From The Cold (Album Version),Uprising
113,2018-02-24 09:37:00,Bob Marley,NA,"Roots, Rock, Reggae",Rastaman Vibration
114,2018-02-24 09:41:00,Bob Marley,NA,Crisis (Album Version),Kaya
115,2018-02-24 09:45:00,Bob Marley,NA,Is This Love,Kaya - Deluxe Edition
116,2018-02-24 09:49:00,Bob Marley,NA,Jamming,Exodus
117,2018-02-24 09:52:00,Bob Marley,NA,"Could You Be Loved (12"" Mix)",Uprising
118,2018-02-24 09:58:00,Bob Marley,NA,Zimbabwe (Album Version),Survival
119,2018-02-24 10:02:00,Bob Marley,NA,Concrete Jungle (Original Album Version),Catch A Fire (Remastered)
120,2018-02-24 10:06:00,Bob Marley,NA,Sun Is Shining (Album Version),Kaya
121,2018-02-24 10:11:00,Bob Marley,NA,Punky Reggae Party,Exodus
122,2018-02-24 10:18:00,Bob Marley,NA,Positive Vibration,Rastaman Vibration
123,2018-02-24 10:21:00,Bob Marley,NA,Africa Unite (Album Version),Survival
124,2018-02-24 10:24:00,Bob Marley,NA,Bad Card (Album Version),Uprising
125,2018-02-24 10:27:00,Bob Marley,NA,Natty Dread,Natty Dread (Remastered)
126,2018-02-24 10:31:00,Bob Marley,NA,Easy Skanking,Kaya
127,2018-02-24 10:34:00,Bob Marley,NA,Crazy Baldhead,Rastaman Vibration
128,2018-02-24 10:37:00,Bob Marley,NA,Babylon System,Survival
129,2018-02-24 10:41:00,Bob Marley,NA,Work (Album Version),Uprising
130,2018-02-24 10:45:00,Bob Marley,NA,Them Belly Full (But We Hungry),Natty Dread (Remastered)
131,2018-02-24 10:48:00,Bob Marley,NA,She's Gone (Album Version),Kaya
132,2018-02-24 10:51:00,Bob Marley,NA,One Love / People Get Ready,Exodus
133,2018-02-24 10:54:00,Bob Marley,NA,War (Album Version),Rastaman Vibration
134,2018-02-24 10:57:00,Bob Marley,NA,We And Dem (Album Version),Uprising
135,2018-02-24 11:00:00,Bob Marley,NA,Top Rankin' (Album Version),Survival
136,2018-02-24 11:04:00,Bob Marley,NA,Misty Morning (Album Version),Kaya
137,2018-02-24 11:07:00,Bob Marley,NA,Exodus,Exodus
138,2018-02-24 11:15:00,Bob Marley,NA,Lively Up Yourself,Natty Dread (Remastered)
139,2018-02-24 11:20:00,Bob Marley,NA,Zion Train (Album Version),Uprising
